Player,FGA,FGM,XPA,XPM,Y/P,Age
Andy Lee,0,0,0,0,46.7,22-40
Robbie Gould,517,447,636,620,34.2,23-40
Matt Prater,448,373,570,555,34.8,23-38
Brett Kern,0,0,0,0,45.9,22-36
Kevin Huber,0,0,0,0,45.3,24-37
Thomas Morstead,0,0,0,0,46.5,23-36
Ryan Succop,386,320,489,470,31,23-36
Graham Gano,370,313,395,376,40.1,22-35
Bryan Anger,0,0,0,0,46.6,24-34
Johnny Hekker,1,1,1,1,46.9,22-32
Sam Martin,0,0,0,0,46.2,23-32
Brandon McManus,274,223,286,277,33.5,23-31
Pat O'Donnell,0,0,0,0,45.1,23-31
Tress Way,0,0,0,0,47,24-32
Bradley Pinion,1,0,0,0,43.9,21-28
Riley Dixon,0,0,0,0,45.8,23-29
Harrison Butker,186,164,289,271,31,22-27
Jake Elliott,163,138,237,226,37.3,22-27
Ka'imi Fairbairn,173,148,201,185,26,23-28
Matt Haack,0,0,0,0,44.5,23-28
Michael Palardy,0,0,0,0,44.9,24-30
Corey Bojorquez,0,0,0,0,46.1,22-26
Logan Cooke,0,0,0,0,47,23-27
Michael Dickson,0,0,0,0,47.6,22-26
Zane Gonzalez,113,91,134,127,35,22-26
Cameron Johnston,0,0,0,0,47.2,26-30
Younghoe Koo,137,122,126,120,35,23-28
Aldrick Rosas,91,72,117,109,36.7,23-27
Rigoberto Sanchez,0,0,0,0,45.1,23-27
JK Scott,0,0,0,0,44.3,23-27
Jake Bailey,0,0,0,0,45.9,22-25
AJ Cole III,0,0,0,0,47.5,24-27
Jamie Gillan,1,0,0,0,45.5,22-25
Austin Seibert,55,44,61,55,37,23-26
Mitch Wishnowsky,1,0,4,2,45.2,27-30
Jack Fox,0,0,0,0,49,24-26
Braden Mann,0,0,0,0,45.4,23-25
Tommy Townsend,0,0,0,0,47.6,24-26
Tristan Vizcaino,12,11,20,15,32,24-26
Matt Ammendola,26,18,22,19,48.5,25-26
Blake Gillikin,0,0,0,0,47,23-24
Pressley Harvin III,0,0,0,0,43.6,23-24
Arryn Siposs,0,0,0,0,44.7,29-30
Corliss Waitman,0,0,0,0,46.9,26-27
Jake Camarda,0,0,0,0,48.8,23
Drue Chrisman,0,0,0,0,47.8,25
Trenton Gill,0,0,0,0,46,23
Hunter Niswander,0,0,0,0,47.2,26
Ryan Stonehouse,0,0,0,0,53.1,23
Jordan Stout,0,0,0,0,45.9,24
Ryan Wright,0,0,0,0,47.4,22